local_identifier,individual_id,sex,taxon_canonical_name,country,study_id,name_lc,is_human_name,creativity_score,pos_score,neg_score,total_births
Barrote,20600873,m,Leopardus pardalis,Panama,123413,barrote,FALSE,0.09523809523809523,0.43492063492063504,0.4380952380952381,0
Bobby,20600876,m,Leopardus pardalis,Panama,123413,bobby,TRUE,0,0.48888888888888893,0.5333333333333334,322835
Encito,20600885,m,Leopardus pardalis,Panama,123413,encito,FALSE,0.11111111111111105,0.4222222222222223,0.4222222222222223,0
Estrella,21359185,f,Leopardus pardalis,Panama,123413,estrella,TRUE,0,0.45000000000000007,0.3416666666666667,13550
Franja,20600888,f,Leopardus pardalis,Panama,123413,franja,FALSE,0.11111111111111105,0.4222222222222223,0.38888888888888895,0
Isaac,20600892,m,Leopardus pardalis,Panama,123413,isaac,TRUE,0,0.4,0.4222222222222223,275086
Mancha,20600867,f,Leopardus pardalis,Panama,123413,mancha,FALSE,0.05555555555555558,0.4222222222222223,0.38888888888888895,0
Moteado,20600879,m,Leopardus pardalis,Panama,123413,moteado,FALSE,0.14285714285714302,0.4047619047619049,0.3571428571428572,0
Yara,20600901,f,Leopardus pardalis,Panama,123413,yara,TRUE,0,0.5166666666666667,0.5,3713
Ainoa,1176117363,f,Chelonoidis hoodensis,NA,2928116,ainoa,FALSE,0.05555555555555558,0.48888888888888893,0.21666666666666667,0
Alison,7054819,f,Chelonoidis donfaustoi,NA,2928116,alison,TRUE,0,0.5277777777777779,0.25,111891
Andrea,13475527,f,Chelonoidis porteri,NA,2928116,andrea,TRUE,0,0.4111111111111112,0.38888888888888895,437022
Andres,543054867,,Chelonoidis donfaustoi,NA,2928116,andres,TRUE,0,0.4111111111111112,0.38888888888888895,82555
Anne,2928141,f,Chelonoidis,NA,2928116,anne,TRUE,0,0.4722222222222223,0.33333333333333337,321932
Arturito,2867736488,,,NA,2928116,arturito,FALSE,0.08333333333333337,0.513888888888889,0.41666666666666674,0
Baronesa,959289595,f,Chelonoidis porteri,NA,2928116,baronesa,FALSE,0.08333333333333337,0.41666666666666674,0.4027777777777779,0
Bertha,196121458,f,Chelonoidis hoodensis,NA,2928116,bertha,TRUE,0,0.5277777777777779,0.30000000000000004,208550
Betty,2263173421,f,Chelonoidis donfaustoi,NA,2928116,betty,TRUE,0,0.5333333333333334,0.4,1003093
Bill,18644697,m,Chelonoidis hoodensis,NA,2928116,bill,TRUE,0,1,0.5,160984
Birgit,2928135,f,Chelonoidis,NA,2928116,birgit,TRUE,0,0.5444444444444445,0.38888888888888895,276
Butternut,710199447,m,Chelonoidis porteri,NA,2928116,butternut,FALSE,0.1693121693121693,0.5185185185185186,0.45925925925925926,0
Carolina,2928137,f,Chelonoidis porteri,NA,2928116,carolina,TRUE,0,0.45277777777777783,0.29166666666666674,42378
Casey,2867736498,,,NA,2928116,casey,TRUE,0,0.4,0.3666666666666667,186185
Cecilia,2068044125,f,Chelonoidis donfaustoi,NA,2928116,cecilia,TRUE,0,0.4380952380952381,0.5357142857142858,95192
Charles,2928138,m,Chelonoidis hoodensis,NA,2928116,charles,TRUE,0,0.4047619047619049,0.4047619047619049,2398453
Charlie,2867736501,,,NA,2928116,charlie,TRUE,0,0.43492063492063504,0.46031746031746035,191055
Charlotte,2068045872,f,Chelonoidis donfaustoi,NA,2928116,charlotte,TRUE,0,0.4666666666666667,0.3555555555555556,349559
Cheyenne,2867736504,,,NA,2928116,cheyenne,TRUE,0,0.41666666666666674,0.5416666666666667,69671
Chica,18642376,f,Chelonoidis hoodensis,NA,2928116,chica,FALSE,0.06666666666666676,0.5166666666666667,0.4222222222222223,0
Chrissie,13455331,f,Chelonoidis porteri,NA,2928116,chrissie,TRUE,0,0.45000000000000007,0.45000000000000007,1095
Christian,2928139,m,Chelonoidis,NA,2928116,christian,TRUE,0,0.5462962962962963,0.3555555555555556,434355
Connor,2928136,m,Chelonoidis donfaustoi,NA,2928116,connor,TRUE,0,0.5,0.4222222222222223,205621
Cuthbert,13475465,m,Chelonoidis porteri,NA,2928116,cuthbert,TRUE,0,0.41666666666666674,0.45000000000000007,151
Danny,13456187,,Chelonoidis porteri,NA,2928116,danny,TRUE,0,0.48888888888888893,0.3666666666666667,284254
Delmira,2928140,f,Chelonoidis porteri,NA,2928116,delmira,TRUE,0,0.5357142857142858,0.4380952380952381,59
Dennis,196150936,m,Chelonoidis donfaustoi,NA,2928116,dennis,TRUE,0,0.5,0.4222222222222223,620092
Destiny,710193410,f,Chelonoidis porteri,NA,2928116,destiny,TRUE,0,0.5079365079365079,0.3238095238095239,145541
Diane,2068046852,f,Chelonoidis donfaustoi,NA,2928116,diane,TRUE,0,0.4,0.32777777777777783,519380
Emily,2068042743,f,Chelonoidis donfaustoi,NA,2928116,emily,TRUE,0,0.5333333333333334,0.5166666666666667,843235
Emma Espanola,2928142,f,Chelonoidis hoodensis,NA,2928116,emma espanola,FALSE,0.1955128205128206,0.3897435897435898,0.4820512820512821,0
Erbert,13475342,,Chelonoidis porteri,NA,2928116,erbert,FALSE,0.04761904761904767,0.4222222222222223,0.38888888888888895,0
Espanola,2928143,f,Chelonoidis hoodensis,NA,2928116,espanola,TRUE,0,0.36111111111111116,0.29166666666666674,6
Fernando,1176121347,m,Chelonoidis hoodensis,NA,2928116,fernando,TRUE,0,0.45000000000000007,0.375,95958
Florence,2068045209,f,Chelonoidis donfaustoi,NA,2928116,florence,TRUE,0,0.29166666666666674,0.41666666666666674,336624
Francisco,980787249,m,Chelonoidis porteri,NA,2928116,francisco,TRUE,0,0.3555555555555556,0.41666666666666674,133797
Franz,2928144,m,Chelonoidis,NA,2928116,franz,TRUE,0,0.4,0.3666666666666667,2757
